英文疾病名稱,中文疾病名稱,ICD-9-CM 2001年版,A Code
Bladder neck contracture,膀胱頸攣縮,596.0,A359
Prostatitis,攝護腺炎,601.9,A369
Stricture of ureter,輸尿管狹窄,593.3,A359
Infertility、male,不孕症、男性,606.9,A363
Orchitis and epididymitis,睪丸炎及副睪丸炎,604.9,A369
Pyelonephritis,腎盂腎炎,590.8,A351
Varicocele,精索靜脈曲張,456.4,A309
Hydrocele,陰囊水腫,603.9,A361
Conjunctivitis,結膜炎,372.3,A233
Herniated of intervertebral disc,腰椎椎肩盤突出,722.1,A434
Cystocele,膀胱脫垂,618.0,A374
Ventral hernia,腹壁疝氣,553.2,A343
Urethral stricture,尿道狹窄,598.9,A359
Other disorders of prostate,其他攝護腺疾患,602.9,A369
Lipoma,脂肪瘤,214.8,A159
Open wound of penis,睪丸開放性傷口,878.0,A509
Intestinal obstruction,腸阻塞,560.9,A344
Adenomyosis,子宮內膜異位,617.0,A379
Chocolate cyst,巧克力囊腫,617.1,A379
Disorders of liver,肝疾患,573.8,A349
Nodular goiter,結節性甲狀腺腫,241.9,A180
