英文疾病名稱,中文疾病名稱,ICD-9-CM 2001年版,A-code
Abdominal pain,腹痛,789.0,A464
Acne vulgaris,痤瘡,706.1,A429
Acute appendicitis,急性闌尾炎,540.9,A342
Acute bronchitis,急性支氣管炎,466.0,A320
Acute confusional state,急性譫妄,293.0,A213
Acute conjuntivitis,急性結膜炎,372.0,A233
Acute gastroenteritis,急性胃腸炎,558.9,A349
Acute glomerulonephritis,急性腎絲球腎炎,580.9,A350
Acute myocardial infarction,急性心肌梗塞,410.9,A270
Acute pancreatitis,急性胰臟炎,577.0,A349
Acute pyelonephritis,急性腎盂腎炎,590.1,A351
Acute renal failure,急性腎衰竭,584.9,A350
Acute sinusitis,急性鼻竇炎,461.9,A312
Acute tonsillitis,急性扁桃腺炎,463,A310
Acquired immunodeficiency syndrome (AIDS),後天免疫不全症候群,042,A049
Alcoholic drunkenness,酒醉,303.0,A215
Alcoholic gastritis,酒精性胃炎,535.3,A349
Alcoholic liver cirrhosis,酒精性肝硬化,571.2,A347
Alcoholic liver damage,酒精性肝損害,571.3,A347
Allergic rhinitis,過敏性鼻炎,477.9,A319
Anemia,貧血,285.9,A200
Anemia (acute blood loss),急性出血後貧血,285.1,A200
Anemia (folate deficiency),葉酸缺乏性貧血,281.2,A200
Anemia (iron deficiency),缺鐵性貧血,280.9,A200
Anemia (vitamin B12 deficiency),維生素Ｂ１２缺乏性貧血,281.1,A200
Angina pectoris,心絞痛,413.9,A279
Ankylosing spondylitis,僵直性脊椎炎,720.0,A433
Anorexia,厭食,783.0,A469
Anxiety state,焦慮狀態,300.0,A214
Anxiety (stress reaction),焦慮(壓力反應),308.0,A219
Arrhythmia,心律不整,427.9,A281
"Arthritis, post-traumatic",創傷後關節炎,716.1,A431
Arthropathy,關節病變,716.9,A431
Ascariasis,蛔虫病,127.0,A076
Asthma,氣喘,493.9,A323
Atherosclerosis,動脈粥樣硬化,440.9,A300
Atopic dermatitis,異位性皮膚炎,691.8,A429
Atrial fibrillation and flutter,心房顫動及撲動,427.3,A281
Backache,背痛,724.5,A434
Bed sore,褥瘡,707.0,A429
Behcet's syndrome,畢賽氏徵候群,136.1,A079
"Peripheral vertigo, unspecified",末梢眩暈,386.1,A249
Benign prostate hypertrophy,攝護腺（前列腺）肥大,600.0,A600
Benign breast tumor,乳房良性腫廇,217,A151
Bronchiectasis,支氣管擴張症,494.0,A324
Cancer of bone and cartilage,骨骼及關節軟骨之惡性腫瘤,170.9,A110
"Cancer of breast, female",女性乳房惡性腫瘤,174.9,A113
Cancer of cervix,子宮頸惡性腫瘤,180.9,A120
Cancer of colon,結腸惡性腫瘤,153.9,A093
Cancer of esophagus,食道惡性腫瘤,150.9,A090
Cancer of gastrointestinal and peritoneum,消化道及腹膜之惡性腫瘤,159.9,A099
Cancer of lung,支氣管及肺惡性腫瘤,162.9,A101
Cancer of mouth,口部惡性腫瘤,145.9,A08
