英文疾病名稱,中文疾病名稱,ICD-9-CM 2001年版,A Code
Abnormal involuntary movements,異常不隨意運動,781.0,A469
Acute infective polyneuritis,急性感染性多發神經炎,357.0,A229
Amyotrophic lateral sclerosis,肌萎縮性側索硬化,335.2,A222
Anomalies of cerebrovascular system,腦血管系統之畸形,747.8,A442
Anoxic brain damage ,腦缺氧損傷,348.1,A229
Arteriosclerotic dementia,動脈硬化性癡呆症,290.4,A210
Basilar artery syndrome,基底動脈徵候群,435.0,A299
Benign intracranial hypertension,良性顱內高壓症,348.2,A229
Fragments of torsion dystonia,零星性扭轉張力不全,333.8,A222
Brain tumor,腦腫瘤,239.6,A17
Branchial plexus lesions,臂神經叢病灶,353.0,A229
Cerebellar ataxia,小腦性運動失調,334.3,A222
Cerebral degeneration,大腦變性,331.9,A222
Cervical spondylosis with myelopathy,伴有脊髓病變之頸部退化性脊椎炎,721.1,A434
Cryptococcosis,隱球菌病,117.5,A071
Cryptococcal meningitis,囊球菌性腦膜炎,321.0,A220
Dementia,癡呆,298.9,A213
Disorder of copper metabolism,銅代謝失調症,275.1,A189
Encephalitis,腦炎,323.9,A229
Encephalopathy,腦病,348.3,A229
Essential tremor,自發性震顫,333.1,A222
Extrapyramidal diseases ,錐體外路疾病,333.9,A222
Facial nerve disorders,面神經疾患,351.8,A229
Huntington's chorea,亨庭頓舞蹈症,333.4,A222
Hydrocephalus,水腦症,331.4,A222
Hypertensive encephalopathy,高血壓性腦病變,437.2,A299
Inflammatory and toxic neuropathy,發炎性及毒性神經疾病,357.9,A229
Lesion of lateral popliteal nerve,外側膕神經病灶,355.3,A229
Lesion of radial nerve,撓骨神經病灶,354.3,A229
Lesion of sciatiac nerve,坐骨神經病灶,355.0,A229
Lesion of ulnar nerve,尺骨神經病灶,354.2,A229
Lumbosacral spondylosis,腰胝骨退化性脊椎炎,721.3,A434
Meningitis,腦膜炎,322.9,A220
Meralgia paresthetica,感覺異常性股痛,355.1,A229
Mononeuritis multiplex,多發性單一神經炎,354.5,A229
Multiple cranial nerve paralysis,多發性顱神經麻痺,352.6,A229
Myasthenia gravis,重症肌無力,358.0,A229
Myoclonus,肌陣攣,333.2,A222
Neuralgic amyotrophy,神經痛性肌萎縮症,353.5,A229
Neuropathy,神經病變,355.9,A229
Optic neuritis,視神經炎,377.3,A239
Paralysis,痳痺,344.9,A224
Postconcussion syndrome ,腦震盪後徵候群,310.2,A219
Secondary malignant neoplasm of brain and spinal cord,腦及脊髓之續發性惡性腫瘤,198.3,A139
Secondary parkinsonism,續發性巴金森病態,332.1,A221
Spinocerebellar disease,脊髓小腦疾病,334.9,A222
Subclavian steal syndrome,鎖骨下動脈徵候群,435.2,A299
Subdural hemorrhage,硬腦膜下出血,432.1,A291
Tic disorder,抽搐,307.2,A219
Tuberculosis meningitis,結核性腦膜炎,013.0,A022
Vertebral artery syndrome,脊椎動脈徵候群,435.1,A299
